epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.077,1.88714,2.42198,1.08014,0.5302,0.4247,0.38398,0.1612,1.78559,2.3179,1.04542,0.000408497,0.000408497,0.000408497
2,801.387,1.80849,1.21129,1.07877,0.9118,0.46419,0.59627,0.25913,1.76812,1.65192,1.05087,0.000743472,0.000743472,0.000743472
3,1203.09,1.78478,1.09414,1.0671,0.91574,0.64614,0.67876,0.29727,1.7599,1.23437,1.04628,0.000995948,0.000995948,0.000995948
4,1605.75,1.76434,1.02643,1.05866,0.91444,0.65695,0.68573,0.29381,1.79123,1.08563,1.04464,0.00087875,0.00087875,0.00087875
5,1998.67,1.74631,0.98128,1.0603,0.93467,0.67322,0.69119,0.29491,1.78745,0.93867,1.05375,0.000755,0.000755,0.000755
6,2425.76,1.73097,0.95224,1.06066,0.78508,0.69022,0.70319,0.29688,1.7848,1.00513,1.04279,0.00063125,0.00063125,0.00063125
7,2834.17,1.72091,0.93888,1.05111,0.8027,0.72734,0.72735,0.31895,1.76167,0.89635,1.05145,0.0005075,0.0005075,0.0005075
8,3222.32,1.71878,0.9029,1.04733,0.8147,0.73749,0.7384,0.33488,1.68247,0.87815,1.02362,0.00038375,0.00038375,0.00038375
9,3607.61,1.68952,0.88421,1.03516,0.81543,0.73995,0.73894,0.33507,1.69334,0.86262,1.02395,0.00026,0.00026,0.00026
10,3984.95,1.69232,0.85717,1.04065,0.82049,0.74433,0.74374,0.34038,1.67118,0.82684,1.02278,0.00013625,0.00013625,0.00013625
