frame,player_id,x,y,team
1,0,63.42935,19.771622,team1
1,1,58.860764,35.954006,team1
1,2,105,28.20531,team1
1,3,62.20201,57.271103,team1
1,4,88.77224,36.33567,team1
1,5,24.52551,36.683838,team2
1,6,22.470982,46.05937,team2
1,7,57.85949,24.715275,team2
1,8,55.489742,50.101467,team2
1,9,31.456171,27.228329,team2
1,10,55.908722,27.00087,team2
1,11,4.2913756,25.798246,team2
1,12,105,44.27999,team1
1,13,72.85584,43.077564,director
2,0,63.379684,19.666485,team1
2,1,58.847767,35.894344,team1
2,2,105,28.037813,team1
2,3,88.76347,36.317642,team1
2,4,24.510263,36.682125,team2
2,5,62.207542,57.28513,team1
2,6,22.467674,46.01651,team2
2,7,105,44.275326,team1
2,8,57.888435,24.474201,team2
2,9,31.441328,27.202267,team2
2,10,55.444206,50.089863,team2
2,11,4.2818065,25.773582,team2
2,12,55.89738,26.931036,team2
2,13,105,10.928317,team1
2,14,72.84561,43.110794,director
3,0,58.891125,35.94564,team1
3,1,63.376,19.71044,team1
3,2,105,27.878698,team1
3,3,88.75603,36.347694,team1
3,4,24.529408,36.665733,team2
3,5,22.422148,45.976727,team2
3,6,62.200058,57.268963,team1
3,7,31.453522,27.10732,team2
3,8,57.883636,24.396029,team2
3,9,105,44.278458,team1
3,10,55.920307,26.927685,team2
3,11,4.1718364,25.704475,team2
3,12,55.39563,50.10152,team2
3,13,105,11.160481,team1
3,14,72.84498,43.126034,director
4,0,58.89259,35.943428,team1
4,1,63.318527,19.715778,team1
4,2,105,27.80997,team1
4,3,22.407017,45.93825,team2
4,4,24.533684,36.645653,team2
4,5,62.200455,57.28198,team1
4,6,88.73092,36.34072,team1
4,7,57.964394,24.384697,team2
4,8,55.91433,26.86362,team2
4,9,31.500462,27.133352,team2
4,10,4.1510572,25.66517,team2
4,11,105,44.30168,team1
4,12,55.338066,50.059025,team2
4,13,105,11.193739,team1
4,14,72.85383,43.11267,director
5,0,58.876484,35.949764,team1
